IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
406,2623,GSI002,76,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
410,2553,GSI002,16,Reprovado,1,2,1,2,2,0,1,1,2,0,2,2,2,0,2,2,2,2,2,0,2,2,1,2
412,2677,GSI002,88,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
419,2493,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
420,1966,GSI002,89,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
421,2005,GSI002,60,Aprovado,0,2,2,2,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2
425,1916,GSI002,99,Aprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
427,1916,GSI002,20,Reprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,0,1,1,1,2,1,2
429,1900,GSI002,14,Reprovado,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
433,2413,GSI002,95,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2
434,2335,GSI002,93,Aprovado,1,1,1,1,1,1,0,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1
435,2257,GSI002,0,Reprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,0,2,2,2,2,1,2,2,1,2
437,2152,GSI002,69,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
440,1916,GSI002,74,Aprovado,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
441,1890,GSI002,10,Reprovado,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,2,1,1,1,0,0,2,1,2
442,1890,GSI002,96,Aprovado,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
450,2735,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
452,2257,GSI002,0,Reprovado,0,1,1,1,1,0,0,1,2,1,2,2,2,1,0,2,2,2,2,1,2,2,1,2
455,2257,GSI002,73,Aprovado,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
462,2721,GSI002,62,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
464,2598,GSI002,100,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
468,2721,GSI002,64,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
469,2721,GSI002,61,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
473,2659,GSI002,96,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
474,2423,GSI002,77,Aprovado,0,1,1,1,1,1,1,0,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,0
476,2591,GSI002,100,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
481,2186,GSI002,84,Aprovado,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
484,2159,GSI002,81,Aprovado,1,1,2,2,1,0,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1
486,2101,GSI002,1,Reprovado,1,1,2,2,1,0,0,1,2,0,2,2,2,2,2,2,2,2,2,1,2,0,0,0
494,1930,GSI002,0,Reprovado,1,2,2,0,0,0,0,2,0,1,2,2,2,0,0,0,2,1,2,0,2,0,0,1
496,1954,GSI002,99,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
497,1890,GSI002,42,Reprovado,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
499,2721,GSI002,0,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
502,2482,GSI002,90,Aprovado,1,2,1,2,2,1,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
506,2721,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
507,2377,GSI002,8,Reprovado,0,2,1,2,2,1,0,0,2,0,2,2,2,0,2,2,2,2,2,0,2,2,0,2
511,1993,GSI002,68,Aprovado,1,2,2,2,1,0,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2
513,2090,GSI002,10,Reprovado,1,2,0,2,2,0,1,0,2,0,2,2,2,1,0,2,2,2,1,0,2,2,1,2
